x,y,gray_value
0,0,255
1,0,255
2,0,255
3,0,255
4,0,255
5,0,255
6,0,255
7,0,255
8,0,255
9,0,255
10,0,255
11,0,255
12,0,255
13,0,255
14,0,255
15,0,255
16,0,255
17,0,255
18,0,255
19,0,255
20,0,255
21,0,255
22,0,255
23,0,255
24,0,255
25,0,255
26,0,255
27,0,255
28,0,255
29,0,255
30,0,255
31,0,255
32,0,255
33,0,255
34,0,255
35,0,255
36,0,255
37,0,255
38,0,255
39,0,255
40,0,255
41,0,255
42,0,255
43,0,255
44,0,255
45,0,255
46,0,255
47,0,255
48,0,255
49,0,255
50,0,255
51,0,255
52,0,255
53,0,255
54,0,255
55,0,255
56,0,255
57,0,255
58,0,255
59,0,255
60,0,255
61,0,255
62,0,255
63,0,255
64,0,255
65,0,255
66,0,255
67,0,255
68,0,255
69,0,255
70,0,255
71,0,255
72,0,255
73,0,255
74,0,255
75,0,255
76,0,255
77,0,255
78,0,255
79,0,255
80,0,255
81,0,255
82,0,255
83,0,255
84,0,255
85,0,255
86,0,255
87,0,255
88,0,255
89,0,255
90,0,255
91,0,255
92,0,255
93,0,255
94,0,255
95,0,255
96,0,255
97,0,255
98,0,255
0,1,255
1,1,255
2,1,255
3,1,255
4,1,255
5,1,255
6,1,255
7,1,255
8,1,255
9,1,255
10,1,255
11,1,255
12,1,255
13,1,255
14,1,255
15,1,255
16,1,255
17,1,255
18,1,255
19,1,255
20,1,255
21,1,255
22,1,255
23,1,255
24,1,255
25,1,255
26,1,255
27,1,255
28,1,255
29,1,255
30,1,255
31,1,255
32,1,255
33,1,255
34,1,255
35,1,255
36,1,255
37,1,255
38,1,255
39,1,255
40,1,255
41,1,255
42,1,255
43,1,255
44,1,255
45,1,255
46,1,255
47,1,255
48,1,255
49,1,255
50,1,255
51,1,255
52,1,255
53,1,255
54,1,255
55,1,255
56,1,255
57,1,255
58,1,255
59,1,255
60,1,255
61,1,255
62,1,255
63,1,255
64,1,255
65,1,255
66,1,255
67,1,255
68,1,255
69,1,255
70,1,255
71,1,255
72,1,255
73,1,255
74,1,255
75,1,255
76,1,255
77,1,255
78,1,255
79,1,255
80,1,255
81,1,255
82,1,255
83,1,255
84,1,255
85,1,255
86,1,255
87,1,255
88,1,255
89,1,255
90,1,255
91,1,255
92,1,255
93,1,255
94,1,255
95,1,255
96,1,255
97,1,255
98,1,255
0,2,255
1,2,255
2,2,255
3,2,255
4,2,255
5,2,255
6,2,255
7,2,255
8,2,255
9,2,255
10,2,255
11,2,255
12,2,255
13,2,255
14,2,255
15,2,255
16,2,255
17,2,255
18,2,255
19,2,255
20,2,255
21,2,255
22,2,255
23,2,255
24,2,255
25,2,255
26,2,255
27,2,255
28,2,255
29,2,255
30,2,255
31,2,255
32,2,255
33,2,255
34,2,255
35,2,255
36,2,255
37,2,255
38,2,255
39,2,255
40,2,255
41,2,255
42,2,255
43,2,255
44,2,255
45,2,255
46,2,255
47,2,255
48,2,255
49,2,255
50,2,255
51,2,255
52,2,255
53,2,255
54,2,255
55,2,255
56,2,255
57,2,255
58,2,255
59,2,255
60,2,255
61,2,255
62,2,255
63,2,255
64,2,255
65,2,255
66,2,255
67,2,255
68,2,255
69,2,255
70,2,255
71,2,255
72,2,255
73,2,255
74,2,255
75,2,255
76,2,255
77,2,255
78,2,255
79,2,255
80,2,255
81,2,255
82,2,255
83,2,255
84,2,255
85,2,255
86,2,255
87,2,255
88,2,255
89,2,255
90,2,255
91,2,255
92,2,255
93,2,255
94,2,255
95,2,255
96,2,255
97,2,255
98,2,255
0,3,255
1,3,255
2,3,255
3,3,255
4,3,255
5,3,255
6,3,255
7,3,255
8,3,255
9,3,255
10,3,255
11,3,255
12,3,255
13,3,255
14,3,255
15,3,255
16,3,255
17,3,255
18,3,255
19,3,255
20,3,255
21,3,255
22,3,255
23,3,255
24,3,255
25,3,255
26,3,255
27,3,255
28,3,255
29,3,255
30,3,255
31,3,255
32,3,255
33,3,255
34,3,255
35,3,255
36,3,255
37,3,255
38,3,255
39,3,255
40,3,255
41,3,255
42,3,255
43,3,255
44,3,255
45,3,255
46,3,255
47,3,255
48,3,255
49,3,255
50,3,255
51,3,255
52,3,255
53,3,255
54,3,255
55,3,255
56,3,255
57,3,255
58,3,255
59,3,255
60,3,255
61,3,255
62,3,255
63,3,255
64,3,255
65,3,255
66,3,255
67,3,255
68,3,255
69,3,255
70,3,255
71,3,255
72,3,255
73,3,255
74,3,255
75,3,255
76,3,255
77,3,255
78,3,255
79,3,255
80,3,255
81,3,255
82,3,255
83,3,255
84,3,255
85,3,255
86,3,255
87,3,255
88,3,255
89,3,255
90,3,255
91,3,255
92,3,255
93,3,255
94,3,255
95,3,255
96,3,255
97,3,255
98,3,255
0,4,255
1,4,255
2,4,255
3,4,255
4,4,255
5,4,255
6,4,255
7,4,255
8,4,255
9,4,255
10,4,255
11,4,255
12,4,255
13,4,255
14,4,255
15,4,255
16,4,255
17,4,255
18,4,255
19,4,255
20,4,255
21,4,255
22,4,255
23,4,255
24,4,255
25,4,255
26,4,255
27,4,255
28,4,255
29,4,255
30,4,255
31,4,255
32,4,255
33,4,255
34,4,255
35,4,255
36,4,255
37,4,255
38,4,255
39,4,255
40,4,255
41,4,255
42,4,255
43,4,255
44,4,255
